id	pw	log2FoldChange
K00850	ko00010	-5.11880994575192
K01624	ko00010	-3.0698198709821
K15778	ko00010	3.75281296453617
K01810	ko00010	-3.56476677963039
K00131	ko00010	4.82807055472042
K13953	ko00010	4.088532705098
K00121	ko00010	3.69969223094566
K00114	ko00010	4.06340005167414
K01623	ko00010	2.86547568930531
K00128	ko00010	3.66874623299616
K00627	ko00010	3.70064340598123
K00162	ko00010	2.85212868855628
K01902	ko00020	3.21063659372229
K01903	ko00020	3.71614461185984
K01644	ko00020	3.47856178509378
K00627	ko00020	3.70064340598123
K01682	ko00020	3.95546322087645
K00177	ko00020	-2.91066087631374
K00162	ko00020	2.85212868855628
K00175	ko00020	-3.24130004079897
K00036	ko00030	3.45895791741912
K01053	ko00030	3.60918375377066
K01624	ko00030	-3.0698198709821
K01623	ko00030	2.86547568930531
K01807	ko00030	2.76487959464198
K01690	ko00030	3.55349205640036
K15778	ko00030	3.75281296453617
K00851	ko00030	2.81043903502085
K00874	ko00030	3.11582254641099
K01057	ko00030	3.16894852107146
K00850	ko00030	-5.11880994575192
K01839	ko00030	-3.25886509304478
K01810	ko00030	-3.56476677963039
K00848	ko00040	-3.26001316767685
K00128	ko00040	3.66874623299616
K01815	ko00040	-2.79956847402168
K01805	ko00040	-4.22684027794827
K01623	ko00051	2.86547568930531
K01818	ko00051	-3.83376043538809
K15778	ko00051	3.75281296453617
K01624	ko00051	-3.0698198709821
K00850	ko00051	-5.11880994575192
K00847	ko00051	-5.68042572505017
K01729	ko00051	3.30162058221441
K00882	ko00051	-5.46335063884805
K00848	ko00051	-3.26001316767685
K01805	ko00051	-4.22684027794827
K00100	ko00051	-3.19705828617099
K15778	ko00052	3.75281296453617
K00850	ko00052	-5.11880994575192
K00965	ko00052	-3.20085551013177
K12308	ko00052	-4.72304924400987
K17716	ko00052	-3.79380842883197
K01631	ko00052	3.96939771871347
K01190	ko00052	-4.34000992753968
K00849	ko00052	-5.5520929718756
K07407	ko00052	-5.17972011677866
K01684	ko00052	3.52470569091082
K00128	ko00053	3.66874623299616
K01706	ko00053	3.31631060413623
K01053	ko00053	3.60918375377066
K13874	ko00053	2.87472181673687
K02160	ko00061	-3.22074443914583
K02371	ko00061	-3.82203108792139
K00208	ko00061	2.78656649664201
K00252	ko00071	3.15665798008068
K00626	ko00071	4.18645998429569
K01692	ko00071	4.17359632800296
K00121	ko00071	3.69969223094566
K06445	ko00071	4.24382214969443
K00249	ko00071	4.34180031442515
K07516	ko00071	4.09736393124045
K00128	ko00071	3.66874623299616
K14338	ko00071	4.38274532206473
K13953	ko00071	4.088532705098
K00496	ko00071	3.47820982963943
K00019	ko00072	3.00723030380234
K00626	ko00072	4.18645998429569
K01574	ko00072	3.57821723964489
K00457	ko00130	3.91170610348705
K03179	ko00130	3.68718316312982
K03182	ko00130	3.92652715892833
K03688	ko00130	3.70255241110138
K00568	ko00130	3.34349907900927
K00038	ko00140	3.41309658631674
K05296	ko00140	3.22926231056726
K02259	ko00190	3.65277325247346
K00404	ko00190	3.45360623166555
K02300	ko00190	3.40814473901239
K00331	ko00190	2.86572190243065
K02299	ko00190	4.08499003980361
K02274	ko00190	4.45824550651285
K00337	ko00190	3.84623278868764
K02297	ko00190	4.26867233510164
K02276	ko00190	4.06395729224968
K00413	ko00190	3.24075075023
K02298	ko00190	5.02615788859969
K00333	ko00190	3.61897060042401
K00341	ko00190	4.19083795184412
K03885	ko00190	2.97390926390324
K00342	ko00190	3.39368793128511
K00937	ko00190	-5.94687921364517
K00335	ko00190	-2.60703519351804
K02275	ko00190	4.26255907500289
K00356	ko00190	3.18310821509905
K02258	ko00190	3.03484702410055
K00412	ko00190	3.63803133980791
K13481	ko00230	3.93147745855292
K01839	ko00230	-3.25886509304478
K13482	ko00230	4.06360852072064
K01477	ko00230	3.30162058221441
K08722	ko00230	-3.33056020075246
K01524	ko00230	-3.22709211319631
K15778	ko00230	3.75281296453617
K01428	ko00230	3.99327778784685
K00955	ko00230	3.98246286852175
K01589	ko00230	3.16729292852244
K00526	ko00230	2.81660294378301
K00758	ko00240	4.66809786164099
K08722	ko00240	-3.33056020075246
K00756	ko00240	-4.52505093478241
K00526	ko00240	2.81660294378301
K01464	ko00240	-3.21361908920281
K00610	ko00240	-4.27064364515303
K08728	ko00240	5.15047874980708
K01914	ko00250	-4.57655070602922
K00265	ko00250	3.85363302002533
K15371	ko00250	4.88400618395725
K14260	ko00250	4.00334455969212
K00135	ko00250	4.8010699639886
K00262	ko00250	-4.96022063311946
K01779	ko00250	-2.92024303668425
K00813	ko00250	3.28421386616642
K00261	ko00250	3.51724793202716
K00610	ko00250	-4.27064364515303
K02160	ko00253	-3.22074443914583
K00060	ko00260	-2.97862867281455
K00108	ko00260	4.78935251867104
K00130	ko00260	3.5594731815903
K01753	ko00260	3.3201957355302
K00872	ko00260	-4.64618278332598
K01758	ko00260	3.11015837462989
K00050	ko00260	2.84626197296147
K02204	ko00260	3.3725705808398
K12972	ko00260	2.69426288234201
K00281	ko00260	4.63459286834443
