pw_name	freq
NA	260
ko02010  ABC transporters	56
ko02020  Two-component system	51
ko01200  Carbon metabolism	22
ko00190  Oxidative phosphorylation	19
ko00920  Sulfur metabolism	18
ko00640  Propanoate metabolism	17
ko01220  Degradation of aromatic compounds	17
ko03070  Bacterial secretion system	17
ko00360  Phenylalanine metabolism	16
ko00362  Benzoate degradation	14
ko00380  Tryptophan metabolism	14
ko00630  Glyoxylate and dicarboxylate metabolism	14
ko02040  Flagellar assembly	14
ko00330  Arginine and proline metabolism	13
ko00650  Butanoate metabolism	13
ko01230  Biosynthesis of amino acids	13
ko00620  Pyruvate metabolism	12
ko00071  Fatty acid degradation	11
ko00627  Aminobenzoate degradation	11
ko00350  Tyrosine metabolism	10
ko00860  Porphyrin and chlorophyll metabolism	10
ko00910  Nitrogen metabolism	10
ko00010  Glycolysis / Gluconeogenesis	9
ko00030  Pentose phosphate pathway	9
ko00230  Purine metabolism	8
ko00260  Glycine, serine and threonine metabolism	8
ko00984  Steroid degradation	8
ko00280  Valine, leucine and isoleucine degradation	7
ko00310  Lysine degradation	7
ko00643  Styrene degradation	7
ko00720  Carbon fixation pathways in prokaryotes	7
ko01212  Fatty acid metabolism	7
ko00020  Citrate cycle (TCA cycle)	6
ko00250  Alanine, aspartate and glutamate metabolism	6
ko00680  Methane metabolism	6
ko00130  Ubiquinone and other terpenoid-quinone biosynthesis	5
ko00270  Cysteine and methionine metabolism	5
ko00281  Geraniol degradation	5
ko00340  Histidine metabolism	5
ko00410  beta-Alanine metabolism	5
ko00480  Glutathione metabolism	5
ko00622  Xylene degradation	5
ko01210  2-Oxocarboxylic acid metabolism	5
ko02030  Bacterial chemotaxis	5
ko00053  Ascorbate and aldarate metabolism	4
ko00361  Chlorocyclohexane and chlorobenzene degradation	4
ko00440  Phosphonate and phosphinate metabolism	4
ko00564  Glycerophospholipid metabolism	4
ko00625  Chloroalkane and chloroalkene degradation	4
ko00780  Biotin metabolism	4
ko00790  Folate biosynthesis	4
ko05133  Pertussis	4
ko00051  Fructose and mannose metabolism	3
ko00052  Galactose metabolism	3
ko00072  Synthesis and degradation of ketone bodies	3
ko00240  Pyrimidine metabolism	3
ko00364  Fluorobenzoate degradation	3
ko00400  Phenylalanine, tyrosine and tryptophan biosynthesis	3
ko00430  Taurine and hypotaurine metabolism	3
ko00500  Starch and sucrose metabolism	3
ko00540  Lipopolysaccharide biosynthesis	3
ko00621  Dioxin degradation	3
ko00623  Toluene degradation	3
ko00626  Naphthalene degradation	3
ko00710  Carbon fixation in photosynthetic organisms	3
ko00900  Terpenoid backbone biosynthesis	3
ko00903  Limonene and pinene degradation	3
ko00960  Tropane, piperidine and pyridine alkaloid biosynthesis	3
ko00970  Aminoacyl-tRNA biosynthesis	3
ko00980  Metabolism of xenobiotics by cytochrome P450	3
ko00982  Drug metabolism - cytochrome P450	3
ko04932  Non-alcoholic fatty liver disease (NAFLD)	3
ko05010  Alzheimer's disease	3
ko05012  Parkinson's disease	3
ko05016  Huntington's disease	3
ko00140  Steroid hormone biosynthesis	2
ko00401  Novobiocin biosynthesis	2
ko00450  Selenocompound metabolism	2
ko00520  Amino sugar and nucleotide sugar metabolism	2
ko00562  Inositol phosphate metabolism	2
ko00624  Polycyclic aromatic hydrocarbon degradation	2
ko00660  C5-Branched dibasic acid metabolism	2
ko00740  Riboflavin metabolism	2
ko00750  Vitamin B6 metabolism	2
ko00760  Nicotinate and nicotinamide metabolism	2
ko00791  Atrazine degradation	2
