Diet	Seqs/Sample	shannon Ave.	shannon Err.
27CDS	10000.0	12.737	0.031
27CDS	20000.0	13.410	0.037
27CDS	30000.0	13.755	0.040
27CDS	40000.0	13.976	0.040
27CDS	50000.0	14.132	0.041
27CDS	60000.0	14.249	0.043
27CDS	70000.0	14.344	0.044
27CDS	80000.0	14.421	0.043
27CDS	90000.0	14.485	0.043
27CDS	100000.0	14.540	0.044
27CDS	110000.0	14.585	0.044
27CDS	120000.0	14.627	0.044
27CDS	130000.0	14.663	0.045
27CDS	140000.0	14.696	0.044
27CDS	150000.0	14.726	0.045
27CDS	160000.0	14.754	0.044
27CDS	170000.0	14.777	0.045
27CDS	180000.0	14.800	0.045
27CDS	190000.0	14.821	0.045
27CDS	200000.0	nan	nan
40MDGS	10000.0	12.798	0.058
40MDGS	20000.0	13.488	0.084
40MDGS	30000.0	13.841	0.102
40MDGS	40000.0	14.066	0.113
40MDGS	50000.0	14.223	0.123
40MDGS	60000.0	14.346	0.131
40MDGS	70000.0	14.439	0.136
40MDGS	80000.0	14.518	0.141
40MDGS	90000.0	14.583	0.145
40MDGS	100000.0	14.640	0.149
40MDGS	110000.0	14.686	0.152
40MDGS	120000.0	14.727	0.155
40MDGS	130000.0	14.765	0.158
40MDGS	140000.0	14.798	0.161
40MDGS	150000.0	14.828	0.162
40MDGS	160000.0	14.855	0.163
40MDGS	170000.0	14.879	0.166
40MDGS	180000.0	14.902	0.167
40MDGS	190000.0	14.922	0.168
40MDGS	200000.0	14.940	0.169
55CS	10000.0	12.787	0.015
55CS	20000.0	13.464	0.028
55CS	30000.0	13.804	0.035
55CS	40000.0	14.017	0.042
55CS	50000.0	14.167	0.047
55CS	60000.0	14.280	0.050
55CS	70000.0	14.370	0.054
55CS	80000.0	14.440	0.057
55CS	90000.0	14.501	0.060
55CS	100000.0	14.554	0.062
55CS	110000.0	14.597	0.064
55CS	120000.0	14.635	0.065
55CS	130000.0	14.670	0.068
55CS	140000.0	14.699	0.069
55CS	150000.0	14.726	0.070
55CS	160000.0	14.751	0.072
55CS	170000.0	14.774	0.073
55CS	180000.0	14.793	0.074
55CS	190000.0	14.812	0.075
55CS	200000.0	14.829	0.076
Corn	10000.0	12.665	0.116
Corn	20000.0	13.311	0.159
Corn	30000.0	13.627	0.185
Corn	40000.0	13.833	0.201
Corn	50000.0	13.979	0.213
Corn	60000.0	14.089	0.224
Corn	70000.0	14.176	0.230
Corn	80000.0	14.245	0.236
Corn	90000.0	14.305	0.240
Corn	100000.0	14.354	0.245
Corn	110000.0	14.399	0.249
Corn	120000.0	14.435	0.252
Corn	130000.0	14.470	0.254
Corn	140000.0	14.499	0.256
Corn	150000.0	14.527	0.259
Corn	160000.0	14.551	0.261
Corn	170000.0	14.573	0.262
Corn	180000.0	14.594	0.264
Corn	190000.0	14.611	0.265
Corn	200000.0	14.629	0.267
