SUID,AverageShortestPathLength,BetweennessCentrality,ClosenessCentrality,ClusteringCoefficient,Eccentricity,EdgeCount,id,Indegree,IsSingleNode,moduland_bridgeness,moduland_overlap,Module_Color,name,NeighborhoodConnectivity,Outdegree,PartnerOfMultiEdgedNodePairs,selected,SelfLoops,shared name,Stress
62,3.88558352,0.00277795,0.2573616,0.35362319,15,132,K01623,62,FALSE,18.07769012,3.773644924,24,K01623,50.07142857,70,62,FALSE,0,K01623,16459007
63,3.49170481,0.04349359,0.28639305,0.12636779,14,231,K00128,111,FALSE,462.3504333,8.790932655,0,K00128,63.99363057,120,74,FALSE,0,K00128,233515758
64,3.80091533,0.00302762,0.26309452,0.57747244,15,215,K01905,110,FALSE,2.872679949,3.235227108,0,K01905,111.8157895,105,101,FALSE,0,K01905,37172749
65,3.7271167,0.0126655,0.26830391,0.23657904,15,127,K00129,60,FALSE,100.2641068,6.836756229,0,K00129,52.72972973,67,53,FALSE,0,K00129,20741718
66,3.98970252,0.00543651,0.25064525,0.5109901,15,133,K01568,101,FALSE,5.435445786,4.584920883,0,K01568,100.8019802,32,32,FALSE,0,K01568,16351810
67,3.74914188,0.01942109,0.2667277,0.39184397,15,93,K00002,45,FALSE,34.67079544,8.585788727,0,K00002,63.39583333,48,45,FALSE,0,K00002,79174485
68,3.87356979,0.00324975,0.2581598,0.45098039,15,94,K13951,46,FALSE,4.774895191,4.463746071,42,K13951,51.90196078,48,43,FALSE,0,K13951,17027680
69,3.64845538,0.00348081,0.27408859,0.49863958,14,285,K00163,145,FALSE,1.375229001,2.853301048,0,K00163,115.033557,140,136,FALSE,0,K00163,113924024
70,3.652746,0.00232479,0.27376664,0.53476805,14,271,K00627,138,FALSE,1.202895045,2.558145046,0,K00627,118.3916084,133,128,FALSE,0,K00627,94897655
71,3.83466819,2.15E-04,0.26077876,0.72278481,14,143,K00016,74,FALSE,2.19552803,3.538420916,0,K00016,121.5625,69,63,FALSE,0,K00016,1412927
72,3.65875286,0.0435432,0.27331718,0.25871612,14,407,K00873,191,FALSE,16.70969963,4.12181282,2,K00873,90.73542601,216,184,FALSE,0,K00873,423067898
73,4.30635011,4.60E-04,0.23221521,0.52941176,15,36,K01689,18,FALSE,1.342439055,9.83214283,0,K01689,58.05555556,18,18,FALSE,0,K01689,571561
74,4.48083524,2.15E-05,0.22317268,0.86928105,16,36,K01834,18,FALSE,0.677967012,7.769515991,53,K01834,32.66666667,18,18,FALSE,0,K01834,51599
75,4.27459954,2.95E-05,0.23394004,0.81552419,15,61,K00134,29,FALSE,1.060956001,4.691857815,53,K00134,59,32,29,FALSE,0,K00134,120458
76,4.15703661,3.40E-04,0.24055598,0.58115942,15,84,K01803,38,FALSE,3.909698009,4.76273489,24,K01803,51.2173913,46,38,FALSE,0,K01803,2620007
77,4.43278032,0.00190971,0.22559205,0.55458769,16,80,K00850,41,FALSE,2.122415066,2.143829107,24,K00850,46.45238095,39,38,FALSE,0,K00850,10857146
78,4.43564073,5.87E-05,0.22544657,0.72857143,16,67,K03841,34,FALSE,1.631574988,1.873049021,24,K03841,50.82857143,33,32,FALSE,0,K03841,131204
79,4.67076659,0.00178237,0.21409762,0.35757576,16,84,K02777,49,FALSE,135.8950043,1.654145002,24,K02777,45.58181818,35,29,FALSE,0,K02777,7215764
80,4.41990847,3.46E-04,0.22624903,0.49069149,16,88,K01810,46,FALSE,2.064332962,1.206719995,24,K01810,46.27083333,42,40,FALSE,0,K01810,1400388
81,4.55921053,0.00268527,0.21933622,0.3266844,16,86,K01835,47,FALSE,23.76377106,1.449810982,24,K01835,40.22916667,39,38,FALSE,0,K01835,14830829
82,4.19393593,0.01752167,0.2384395,0.20809793,16,219,K00844,115,FALSE,20.95650482,1.203583956,24,K00844,38.89830508,104,101,FALSE,0,K00844,59151426
83,4.4367849,0.001368,0.22538843,0.3377193,16,124,K12407,65,FALSE,0.427311003,1.308316946,24,K12407,44.42105263,59,48,FALSE,0,K12407,4817688
84,4.79805492,1.66E-05,0.20841779,0.72333333,16,45,K01792,24,FALSE,0.238461003,1.199265003,24,K01792,50.52,21,20,FALSE,0,K01792,29567
85,4.54662471,5.11E-05,0.21994338,0.84564394,16,64,K01785,32,FALSE,0.393996,3.267497063,24,K01785,56.24242424,32,31,FALSE,0,K01785,124727
86,4.48226545,2.44E-04,0.22310147,0.62575758,16,83,K01084,44,FALSE,0.048083998,1.24951303,24,K01084,54.86666667,39,38,FALSE,0,K01084,1337889
87,4.53117849,0.00180199,0.22069314,0.56376812,16,85,K01085,44,FALSE,1.224876046,3.026134968,24,K01085,51.76086957,41,39,FALSE,0,K01085,4034993
88,4.53117849,0.00180199,0.22069314,0.56376812,16,85,K05344,44,FALSE,1.224876046,3.026134968,24,K05344,51.76086957,41,39,FALSE,0,K05344,4034993
89,3.58323799,0.01325578,0.27907719,0.2505182,14,391,K00382,192,FALSE,40.59167862,1.952348948,0,K00382,98.53815261,199,142,FALSE,0,K00382,211719689
90,4.56235698,1.74E-05,0.21918495,0.74736842,16,40,K00927,20,FALSE,0.388787001,6.291893959,53,K00927,33.75,20,20,FALSE,0,K00927,17028
91,4.45451945,5.41E-04,0.22449111,0.52470588,16,95,K00886,49,FALSE,0.304412991,1.290088058,24,K00886,50.54901961,46,44,FALSE,0,K00886,2066609
92,4.82608696,5.36E-04,0.20720721,0.55847953,16,19,K01222,5,FALSE,0.282761008,1.455036998,24,K01222,43.63157895,14,0,FALSE,0,K01222,2412586
93,4.07894737,5.23E-04,0.24516129,0.6564482,15,86,K01596,44,FALSE,3.025676966,5.303752899,0,K01596,100.8181818,42,42,FALSE,0,K01596,9648303
94,3.90703661,0.0043567,0.25594846,0.41298077,15,127,K14028,64,FALSE,21.58854294,7.571135998,0,K14028,56.15384615,63,62,FALSE,0,K14028,20298852
95,4.07894737,5.23E-04,0.24516129,0.6564482,15,86,K01610,44,FALSE,3.025676966,5.303752899,0,K01610,100.8181818,42,42,FALSE,0,K01610,9648303
96,3.99914188,0,0.25005364,1,15,52,K04022,26,FALSE,0.347667992,6.035562038,0,K04022,74.57692308,26,26,FALSE,0,K04022,0
97,4.27459954,2.95E-05,0.23394004,0.81552419,15,61,K00150,29,FALSE,1.060956001,4.691857815,53,K00150,59,32,29,FALSE,0,K00150,120458
98,4.14187643,7.88E-04,0.24143646,0.54809725,15,85,K11389,41,FALSE,3.417829037,4.396485806,53,K11389,51.25,44,41,FALSE,0,K11389,1571213
99,4.14187643,7.88E-04,0.24143646,0.54809725,15,85,K00131,41,FALSE,3.417829037,4.396485806,53,K00131,51.25,44,41,FALSE,0,K00131,1571213
100,3.60783753,0.00548254,0.27717434,0.34808751,14,372,K00169,192,FALSE,6.772342205,1.941576958,0,K00169,105.0588235,180,168,FALSE,0,K00169,130670270
