Diet	Seqs/Sample	shannon Ave.	shannon Err.
27CDS	10000.0	11.359	0.066
27CDS	20000.0	11.737	0.077
27CDS	30000.0	11.921	0.081
27CDS	40000.0	12.026	0.086
27CDS	50000.0	12.103	0.087
27CDS	60000.0	12.158	0.083
27CDS	70000.0	12.202	0.083
27CDS	80000.0	12.239	0.085
27CDS	90000.0	12.273	0.086
27CDS	100000.0	12.296	0.087
27CDS	110000.0	12.317	0.088
27CDS	120000.0	12.336	0.086
27CDS	130000.0	12.353	0.088
27CDS	140000.0	12.369	0.084
27CDS	150000.0	12.379	0.086
27CDS	160000.0	12.392	0.084
27CDS	170000.0	12.401	0.086
27CDS	180000.0	12.412	0.085
27CDS	190000.0	12.424	0.085
27CDS	200000.0	12.428	0.084
40MDGS	10000.0	9.927	0.418
40MDGS	20000.0	10.145	0.444
40MDGS	30000.0	10.238	0.451
40MDGS	40000.0	10.298	0.458
40MDGS	50000.0	10.336	0.464
40MDGS	60000.0	10.364	0.468
40MDGS	70000.0	10.386	0.470
40MDGS	80000.0	10.403	0.471
40MDGS	90000.0	10.417	0.474
40MDGS	100000.0	10.433	0.473
40MDGS	110000.0	10.441	0.475
40MDGS	120000.0	10.452	0.477
40MDGS	130000.0	10.458	0.477
40MDGS	140000.0	10.465	0.478
40MDGS	150000.0	10.472	0.478
40MDGS	160000.0	10.478	0.480
40MDGS	170000.0	10.484	0.480
40MDGS	180000.0	10.488	0.481
40MDGS	190000.0	10.493	0.482
40MDGS	200000.0	nan	nan
55CS	10000.0	11.217	0.365
55CS	20000.0	11.580	0.400
55CS	30000.0	11.757	0.416
55CS	40000.0	11.861	0.429
55CS	50000.0	11.935	0.436
55CS	60000.0	11.991	0.439
55CS	70000.0	12.039	0.444
55CS	80000.0	12.074	0.445
55CS	90000.0	12.100	0.450
55CS	100000.0	12.131	0.453
55CS	110000.0	12.149	0.453
55CS	120000.0	12.169	0.455
55CS	130000.0	12.183	0.455
55CS	140000.0	12.197	0.458
55CS	150000.0	12.211	0.459
55CS	160000.0	12.224	0.460
55CS	170000.0	12.233	0.461
55CS	180000.0	12.242	0.461
55CS	190000.0	12.254	0.461
55CS	200000.0	12.258	0.462
Corn	10000.0	9.938	0.089
Corn	20000.0	10.129	0.093
Corn	30000.0	10.210	0.092
Corn	40000.0	10.264	0.096
Corn	50000.0	10.297	0.092
Corn	60000.0	10.327	0.095
Corn	70000.0	10.346	0.097
Corn	80000.0	10.362	0.098
Corn	90000.0	10.377	0.097
Corn	100000.0	10.388	0.097
Corn	110000.0	10.394	0.099
Corn	120000.0	10.405	0.098
Corn	130000.0	10.414	0.099
Corn	140000.0	10.418	0.099
Corn	150000.0	10.425	0.098
Corn	160000.0	10.428	0.099
Corn	170000.0	10.435	0.098
Corn	180000.0	10.440	0.099
Corn	190000.0	10.443	0.100
Corn	200000.0	10.446	0.099
