SRR3621209	B16
SRR3621210	B17
SRR3621211	B6
SRR3621212	B7
SRR3621213	B8
SRR3621214	B9
SRR3621215	B10
SRR3621216	B11
SRR3621217	B12
SRR3621218	B13
SRR3621219	B14
SRR3621220	B15
SRR3621221	B18
SRR3621222	V1
SRR3621223	V2
SRR3621224	V3
SRR3621225	V4
SRR3621226	V5
SRR3621227	V6
SRR3621228	V7
SRR3621229	V8
SRR3621230	V9
SRR3621231	V10
SRR3621241	V11_illumina
SRR3621242	V12_illumina
SRR3621244	V13_illumina
SRR3621232	B19
SRR3621233	V11
SRR3621234	V12
SRR3621235	V13
SRR3621236	V14
SRR3621237	V15
SRR3621238	V4_illumina
SRR3621239	V9_illumina
SRR3621240	V10_illumina
SRR3621243	B20
SRR3621245	B1
SRR3621246	B2
SRR3621247	B3
SRR3621248	B4
SRR3621249	B5
