ID	Animal	Diet	pH	NDF	Protein	VFA	TDN	ADF	RFV	Ca	P	K	Mg	Zn	Fe	Mn	Cu	S	Na	Mo
BMG.10	259	27CDS	6.16	10.1377	12.1582	39.05	82.6484	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
BMG.11	346	55CS	5.93	25.45	17.17	11.28	73.295	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
BMG.12	3244	55CS	6.44	25.45	17.17	30.73	73.295	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
BMG.13	222	27CDS	5.25	10.1377	12.1582	20.32	82.6484	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
BMG.14	3257	Corn	4.89	11.2175	8.74125	13.98	81.4325	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
BMG.15	259	40MDGS	5.4	19.2515	17.964	11.99	78.503	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
BMG.16	346	27CDS	5.36	10.1377	12.1582	31.21	82.6484	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
BMG.17	3244	27CDS	5.33	10.1377	12.1582	51.37	82.6484	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
BMG.18	222	55CS	6.6	25.45	17.17	9.89	73.295	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
BMG.19	3257	40MDGS	5.25	19.2515	17.964	20.89	78.503	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
BMG.1	346	Corn	5.3	11.2175	8.74125	23.15	81.4325	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
BMG.20	259	Corn	5.06	11.2175	8.74125	39.78	81.4325	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
BMG.2	3244	Corn	5.02	11.2175	8.74125	22.26	81.4325	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
BMG.3	222	40MDGS	6.18	19.2515	17.964	9.58	78.503	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
BMG.4	3257	27CDS	5.15	10.1377	12.1582	19.39	82.6484	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
BMG.5	259	55CS	5.96	25.45	17.17	23.25	73.295	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
BMG.6	346	40MDGS	6.19	19.2515	17.964	31.93	78.503	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
BMG.7	3244	40MDGS	5.71	19.2515	17.964	39.18	78.503	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
BMG.8	222	Corn	5.14	11.2175	8.74125	18.67	81.4325	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
BMG.9	3257	55CS	6.63	25.45	17.17	31.22	73.295	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
