ID	Animal	Diet	pH	Protein	TDN	VFA	NDF	ADF	RFV	Ca	P	K	Mg	Zn	Fe	Mn	Cu	S	Na	Mo
VMG.10	259	27CDS	6.16	12.1582	82.6484	39.05	10.1377	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
VMG.11	346	55CS	5.93	17.17	73.295	11.28	25.45	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
VMG.12	3244	55CS	6.44	17.17	73.295	30.73	25.45	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
VMG.13	222	27CDS	5.25	12.1582	82.6484	20.32	10.1377	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
VMG.14	3257	Corn	4.89	8.74125	81.4325	13.98	11.2175	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
VMG.15	259	40MDGS	5.4	17.964	78.503	11.99	19.2515	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
VMG.1	346	Corn	5.3	8.74125	81.4325	23.15	11.2175	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
VMG.2	3244	Corn	5.02	8.74125	81.4325	22.26	11.2175	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
VMG.3	222	40MDGS	6.18	17.964	78.503	9.58	19.2515	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
VMG.4	3257	27CDS	5.15	12.1582	82.6484	19.39	10.1377	4.9077	1378.781	0.07276	0.81735	1.33345	0.30822	123.4687	92.927	18.576	4.1642	0.23142	0.1716	0.38497
VMG.5	259	55CS	5.96	17.17	73.295	23.25	25.45	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
VMG.6	346	40MDGS	6.19	17.964	78.503	31.93	19.2515	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
VMG.7	3244	40MDGS	5.71	17.964	78.503	39.18	19.2515	9.2815	712.645	0.0912	0.60075	0.97275	0.2269	38.5115	125.215	16.32	4.139	0.2574	0.1285	0.50665
VMG.8	222	Corn	5.14	8.74125	81.4325	18.67	11.2175	5.39125	1100.1375	0.077	0.338	0.63	0.13725	24.9	55.9125	10.8375	2.56875	0.111125	0.0285	0.2435
VMG.9	3257	55CS	6.63	17.17	73.295	31.22	25.45	15.245	252	0.1775	0.5565	1.2545	0.2525	40.145	197.25	21.6	6.52	0.2635	0.1285	0.5125
