## 1 - Complete phage contigs - category 1 (sure)
## Contig_id,Nb genes contigs,Fragment,Nb genes,Category,Nb phage hallmark genes,Phage gene enrichment sig,Non-Caudovirales phage gene enrichment sig,Pfam depletion sig,Uncharacterized enrichment sig,Strand switch depletion sig,Short genes enrichment sig
VIRSorter_NODE_10005_length_4114_cov_43_5977_ID_20009,7,VIRSorter_NODE_10005_length_4114_cov_43_5977_ID_20009,7,1,1,6.85970136720946,,4.14379266564342,,,
VIRSorter_NODE_10026_length_4106_cov_2_60266_ID_20051,9,VIRSorter_NODE_10026_length_4106_cov_2_60266_ID_20051,9,1,1,5.38680578604491,,5.32773342725582,,,
VIRSorter_NODE_10029_length_4105_cov_3_3552_ID_20057,6,VIRSorter_NODE_10029_length_4105_cov_3_3552_ID_20057,6,1,2,4.16129277473563,,3.55182228483721,,,
VIRSorter_NODE_10039_length_4103_cov_2_23013_ID_20077,6,VIRSorter_NODE_10039_length_4103_cov_2_23013_ID_20077,6,1,2,2.81958587565650,,3.55182228483721,,,
VIRSorter_NODE_10048_length_4102_cov_17_1004_ID_20095,8,VIRSorter_NODE_10048_length_4102_cov_17_1004_ID_20095,8,1,2,2.22581054573474,,4.73576304644962,,,
VIRSorter_NODE_10055_length_4100_cov_615_669_ID_20109,7,VIRSorter_NODE_10055_length_4100_cov_615_669_ID_20109,7,1,2,6.85970136720946,,4.14379266564342,,,
VIRSorter_NODE_10077_length_4093_cov_4_07867_ID_20153,6,VIRSorter_NODE_10077_length_4093_cov_4_07867_ID_20153,6,1,1,,2.03948144718238,3.55182228483721,,,
VIRSorter_NODE_10079_length_4093_cov_248_012_ID_20157,4,VIRSorter_NODE_10079_length_4093_cov_248_012_ID_20157,4,1,2,3.91982935269112,,2.36788152322481,,,
VIRSorter_NODE_10085_length_4089_cov_3_9894_ID_20169,7,VIRSorter_NODE_10085_length_4089_cov_3_9894_ID_20169,7,1,1,3.65676864270504,,4.14379266564342,,,
VIRSorter_NODE_1009_length_19592_cov_6_84351_ID_2017,36,VIRSorter_NODE_1009_length_19592_cov_6_84351_ID_2017,36,1,2,3.31408026935259,,16.70939516308793,gene_6-gene_29:3.67041040175448,,
